"Block"	"Column"	"Row"	"ID"	"spot"	"B635.SD"	"Name"	"Category"
2	3	7	"p53 S392A"	"p53 S392A"	NA	NA	"analyte probe"
2	4	7	"BAGE3"	"BAGE3"	NA	NA	"analyte probe"
2	5	7	"p53 S392A"	"p53 S392A"	NA	NA	"analyte probe"
2	6	7	"BAGE3"	"BAGE3"	NA	NA	"analyte probe"
2	7	7	"empty"	"empty"	NA	NA	"removed probe"
2	8	7	"empty"	"empty"	NA	NA	"removed probe"
2	1	8	"SOX2"	"SOX2"	NA	NA	"analyte probe"
2	2	8	"MAP9"	"MAP9"	NA	NA	"analyte probe"
2	3	8	"SOX2"	"SOX2"	NA	NA	"analyte probe"
2	4	8	"MAP9"	"MAP9"	NA	NA	"analyte probe"
2	5	8	"SOX2"	"SOX2"	NA	NA	"analyte probe"
2	6	8	"MAP9"	"MAP9"	NA	NA	"analyte probe"
2	7	8	"empty"	"empty"	NA	NA	"removed probe"
2	8	8	"empty"	"empty"	NA	NA	"removed probe"
3	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
3	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
3	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
3	4	1	"CCDC33"	"CCDC33"	NA	NA	"analyte probe"
3	5	1	"CSAG2"	"CSAG2"	NA	NA	"analyte probe"
3	6	1	"CXorf48.1"	"CXorf48.1"	NA	NA	"analyte probe"
3	7	1	"MAGEA11"	"MAGEA11"	NA	NA	"analyte probe"
3	8	1	"SPATS1 (isoform a)"	"SPATS1 (isoform a)"	NA	NA	"analyte probe"
3	1	2	"MAGEA4v3"	"MAGEA4v3"	NA	NA	"analyte probe"
3	2	2	"MAGEB5"	"MAGEB5"	NA	NA	"analyte probe"
3	3	2	"NLRP4"	"NLRP4"	NA	NA	"analyte probe"
3	4	2	"SYCE1"	"SYCE1"	NA	NA	"analyte probe"
3	5	2	"TSGA10"	"TSGA10"	NA	NA	"analyte probe"
3	6	2	"XAGE3av1"	"XAGE3av1"	NA	NA	"analyte probe"
3	7	2	"CDK2"	"CDK2"	NA	NA	"analyte probe"
3	8	2	"Buffer"	"Buffer"	NA	NA	"analyte probe"
3	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
3	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
3	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
3	4	3	"CCDC33"	"CCDC33"	NA	NA	"analyte probe"
3	5	3	"CSAG2"	"CSAG2"	NA	NA	"analyte probe"
3	6	3	"CXorf48.1"	"CXorf48.1"	NA	NA	"analyte probe"
3	7	3	"MAGEA11"	"MAGEA11"	NA	NA	"analyte probe"
3	8	3	"SPATS1 (isoform a)"	"SPATS1 (isoform a)"	NA	NA	"analyte probe"
3	1	4	"MAGEA4v3"	"MAGEA4v3"	NA	NA	"analyte probe"
3	2	4	"MAGEB5"	"MAGEB5"	NA	NA	"analyte probe"
3	3	4	"NLRP4"	"NLRP4"	NA	NA	"analyte probe"
3	4	4	"SYCE1"	"SYCE1"	NA	NA	"analyte probe"
3	5	4	"TSGA10"	"TSGA10"	NA	NA	"analyte probe"
3	6	4	"XAGE3av1"	"XAGE3av1"	NA	NA	"analyte probe"
3	7	4	"CDK2"	"CDK2"	NA	NA	"analyte probe"
3	8	4	"Buffer"	"Buffer"	NA	NA	"analyte probe"
3	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
3	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
3	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
3	4	5	"CCDC33"	"CCDC33"	NA	NA	"analyte probe"
3	5	5	"CSAG2"	"CSAG2"	NA	NA	"analyte probe"
3	6	5	"CXorf48.1"	"CXorf48.1"	NA	NA	"analyte probe"
3	7	5	"MAGEA11"	"MAGEA11"	NA	NA	"analyte probe"
3	8	5	"SPATS1 (isoform a)"	"SPATS1 (isoform a)"	NA	NA	"analyte probe"
3	1	6	"MAGEA4v3"	"MAGEA4v3"	NA	NA	"analyte probe"
3	2	6	"MAGEB5"	"MAGEB5"	NA	NA	"analyte probe"
3	3	6	"NLRP4"	"NLRP4"	NA	NA	"analyte probe"
3	4	6	"SYCE1"	"SYCE1"	NA	NA	"analyte probe"
3	5	6	"TSGA10"	"TSGA10"	NA	NA	"analyte probe"
3	6	6	"XAGE3av1"	"XAGE3av1"	NA	NA	"analyte probe"
3	7	6	"BAGE2"	"BAGE2"	NA	NA	"analyte probe"
3	8	6	"Buffer"	"Buffer"	NA	NA	"analyte probe"
3	1	7	"p53 K382R"	"p53 K382R"	NA	NA	"analyte probe"
3	2	7	"CDK2"	"CDK2"	NA	NA	"analyte probe"
3	3	7	"p53 K382R"	"p53 K382R"	NA	NA	"analyte probe"
3	4	7	"BAGE2"	"BAGE2"	NA	NA	"analyte probe"
3	5	7	"p53 K382R"	"p53 K382R"	NA	NA	"analyte probe"
3	6	7	"BAGE2"	"BAGE2"	NA	NA	"analyte probe"
3	7	7	"empty"	"empty"	NA	NA	"removed probe"
3	8	7	"empty"	"empty"	NA	NA	"removed probe"
3	1	8	"XAGE1B"	"XAGE1B"	NA	NA	"analyte probe"
3	2	8	"ITGB1"	"ITGB1"	NA	NA	"analyte probe"
3	3	8	"XAGE1B"	"XAGE1B"	NA	NA	"analyte probe"
3	4	8	"ITGB1"	"ITGB1"	NA	NA	"analyte probe"
3	5	8	"XAGE1B"	"XAGE1B"	NA	NA	"analyte probe"
3	6	8	"ITGB1"	"ITGB1"	NA	NA	"analyte probe"
3	7	8	"empty"	"empty"	NA	NA	"removed probe"
3	8	8	"empty"	"empty"	NA	NA	"removed probe"
4	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
4	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
4	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
4	4	1	"BAGE5"	"BAGE5"	NA	NA	"analyte probe"
4	5	1	"COX6B2"	"COX6B2"	NA	NA	"analyte probe"
4	6	1	"CTAG2"	"CTAG2"	NA	NA	"analyte probe"
4	7	1	"MAGEA10"	"MAGEA10"	NA	NA	"analyte probe"
4	8	1	"TKTL1 (isoform a)"	"TKTL1 (isoform a)"	NA	NA	"analyte probe"
4	1	2	"MAGEA4v2"	"MAGEA4v2"	NA	NA	"analyte probe"
4	2	2	"MAGEB1"	"MAGEB1"	NA	NA	"analyte probe"
4	3	2	"MICA"	"MICA"	NA	NA	"analyte probe"
4	4	2	"SSX4"	"SSX4"	NA	NA	"analyte probe"
4	5	2	"TPTE"	"TPTE"	NA	NA	"analyte probe"
4	6	2	"XAGE-2"	"XAGE-2"	NA	NA	"analyte probe"
4	7	2	"AKT1"	"AKT1"	NA	NA	"analyte probe"
4	8	2	"ICL"	"ICL"	NA	NA	"removed probe"
4	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
4	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
4	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
4	4	3	"BAGE5"	"BAGE5"	NA	NA	"analyte probe"
4	5	3	"COX6B2"	"COX6B2"	NA	NA	"analyte probe"
4	6	3	"CTAG2"	"CTAG2"	NA	NA	"analyte probe"
4	7	3	"MAGEA10"	"MAGEA10"	NA	NA	"analyte probe"
4	8	3	"TKTL1 (isoform a)"	"TKTL1 (isoform a)"	NA	NA	"analyte probe"
4	1	4	"MAGEA4v2"	"MAGEA4v2"	NA	NA	"analyte probe"
4	2	4	"MAGEB1"	"MAGEB1"	NA	NA	"analyte probe"
4	3	4	"MICA"	"MICA"	NA	NA	"analyte probe"
4	4	4	"SSX4"	"SSX4"	NA	NA	"analyte probe"
4	5	4	"TPTE"	"TPTE"	NA	NA	"analyte probe"
4	6	4	"XAGE-2"	"XAGE-2"	NA	NA	"analyte probe"
4	7	4	"AKT1"	"AKT1"	NA	NA	"analyte probe"
4	8	4	"ICL"	"ICL"	NA	NA	"removed probe"
4	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
4	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
4	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
4	4	5	"BAGE5"	"BAGE5"	NA	NA	"analyte probe"
4	5	5	"COX6B2"	"COX6B2"	NA	NA	"analyte probe"
4	6	5	"CTAG2"	"CTAG2"	NA	NA	"analyte probe"
4	7	5	"MAGEA10"	"MAGEA10"	NA	NA	"analyte probe"
4	8	5	"TKTL1 (isoform a)"	"TKTL1 (isoform a)"	NA	NA	"analyte probe"
4	1	6	"MAGEA4v2"	"MAGEA4v2"	NA	NA	"analyte probe"
4	2	6	"MAGEB1"	"MAGEB1"	NA	NA	"analyte probe"
4	3	6	"MICA"	"MICA"	NA	NA	"analyte probe"
4	4	6	"SSX4"	"SSX4"	NA	NA	"analyte probe"
4	5	6	"TPTE"	"TPTE"	NA	NA	"analyte probe"
4	6	6	"XAGE-2"	"XAGE-2"	NA	NA	"analyte probe"
4	7	6	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
4	8	6	"ICL"	"ICL"	NA	NA	"removed probe"
4	1	7	"p53 S46A"	"p53 S46A"	NA	NA	"analyte probe"
4	2	7	"AKT1"	"AKT1"	NA	NA	"analyte probe"
4	3	7	"p53 S46A"	"p53 S46A"	NA	NA	"analyte probe"
4	4	7	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
4	5	7	"p53 S46A"	"p53 S46A"	NA	NA	"analyte probe"
4	6	7	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
4	7	7	"empty"	"empty"	NA	NA	"removed probe"
4	8	7	"empty"	"empty"	NA	NA	"removed probe"
4	1	8	"5T4/TPBG"	"5T4/TPBG"	NA	NA	"analyte probe"
4	2	8	"ACVR2B"	"ACVR2B"	NA	NA	"analyte probe"
4	3	8	"5T4/TPBG"	"5T4/TPBG"	NA	NA	"analyte probe"
4	4	8	"ACVR2B"	"ACVR2B"	NA	NA	"analyte probe"
4	5	8	"5T4/TPBG"	"5T4/TPBG"	NA	NA	"analyte probe"
4	6	8	"ACVR2B"	"ACVR2B"	NA	NA	"analyte probe"
4	7	8	"empty"	"empty"	NA	NA	"removed probe"
4	8	8	"empty"	"empty"	NA	NA	"removed probe"
5	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
5	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
5	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
5	4	1	"GAGE5"	"GAGE5"	NA	NA	"analyte probe"
5	5	1	"HORMAD1"	"HORMAD1"	NA	NA	"analyte probe"
5	6	1	"MAGEA1"	"MAGEA1"	NA	NA	"analyte probe"
5	7	1	"PBK"	"PBK"	NA	NA	"analyte probe"
5	8	1	"BCCP-myc"	"BCCP-myc"	NA	NA	"analyte probe"
5	1	2	"SILV"	"SILV"	NA	NA	"analyte probe"
5	2	2	"SPANXC"	"SPANXC"	NA	NA	"analyte probe"
5	3	2	"SSX2A"	"SSX2A"	NA	NA	"analyte probe"
5	4	2	"MAPK3"	"MAPK3"	NA	NA	"analyte probe"
5	5	2	"CALM1"	"CALM1"	NA	NA	"analyte probe"
5	6	2	"p53 S6A"	"p53 S6A"	NA	NA	"analyte probe"
5	7	2	"p53 Q136x"	"p53 Q136x"	NA	NA	"analyte probe"
5	8	2	"Buffer"	"Buffer"	NA	NA	"analyte probe"
5	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
5	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
5	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
5	4	3	"GAGE5"	"GAGE5"	NA	NA	"analyte probe"
5	5	3	"HORMAD1"	"HORMAD1"	NA	NA	"analyte probe"
5	6	3	"MAGEA1"	"MAGEA1"	NA	NA	"analyte probe"
5	7	3	"PBK"	"PBK"	NA	NA	"analyte probe"
5	8	3	"BCCP-myc"	"BCCP-myc"	NA	NA	"analyte probe"
5	1	4	"SILV"	"SILV"	NA	NA	"analyte probe"
5	2	4	"SPANXC"	"SPANXC"	NA	NA	"analyte probe"
5	3	4	"SSX2A"	"SSX2A"	NA	NA	"analyte probe"
5	4	4	"MAPK3"	"MAPK3"	NA	NA	"analyte probe"
5	5	4	"CALM1"	"CALM1"	NA	NA	"analyte probe"
5	6	4	"p53 S6A"	"p53 S6A"	NA	NA	"analyte probe"
5	7	4	"p53 Q136x"	"p53 Q136x"	NA	NA	"analyte probe"
5	8	4	"Buffer"	"Buffer"	NA	NA	"analyte probe"
5	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
5	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
5	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
5	4	5	"GAGE5"	"GAGE5"	NA	NA	"analyte probe"
5	5	5	"HORMAD1"	"HORMAD1"	NA	NA	"analyte probe"
5	6	5	"MAGEA1"	"MAGEA1"	NA	NA	"analyte probe"
5	7	5	"PBK"	"PBK"	NA	NA	"analyte probe"
5	8	5	"BCCP-myc"	"BCCP-myc"	NA	NA	"analyte probe"
5	1	6	"SILV"	"SILV"	NA	NA	"analyte probe"
5	2	6	"SPANXC"	"SPANXC"	NA	NA	"analyte probe"
5	3	6	"SSX2A"	"SSX2A"	NA	NA	"analyte probe"
5	4	6	"MAPK3"	"MAPK3"	NA	NA	"analyte probe"
5	5	6	"CALM1"	"CALM1"	NA	NA	"analyte probe"
5	6	6	"p53 S6A"	"p53 S6A"	NA	NA	"analyte probe"
5	7	6	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
5	8	6	"Buffer"	"Buffer"	NA	NA	"analyte probe"
5	1	7	"EGFR"	"EGFR"	NA	NA	"analyte probe"
5	2	7	"p53 Q136x"	"p53 Q136x"	NA	NA	"analyte probe"
5	3	7	"EGFR"	"EGFR"	NA	NA	"analyte probe"
5	4	7	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
5	5	7	"EGFR"	"EGFR"	NA	NA	"analyte probe"
5	6	7	"biotin-hIgG 10ng/ul"	"biotin-hIgG 10ng/ul"	NA	NA	"removed probe"
5	7	7	"empty"	"empty"	NA	NA	"removed probe"
5	8	7	"empty"	"empty"	NA	NA	"removed probe"
5	1	8	"NANOG"	"NANOG"	NA	NA	"analyte probe"
5	2	8	"GDF3"	"GDF3"	NA	NA	"analyte probe"
5	3	8	"NANOG"	"NANOG"	NA	NA	"analyte probe"
5	4	8	"GDF3"	"GDF3"	NA	NA	"analyte probe"
5	5	8	"NANOG"	"NANOG"	NA	NA	"analyte probe"
5	6	8	"GDF3"	"GDF3"	NA	NA	"analyte probe"
5	7	8	"empty"	"empty"	NA	NA	"removed probe"
5	8	8	"empty"	"empty"	NA	NA	"removed probe"
6	1	1	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
6	2	1	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
6	3	1	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
6	4	1	"GAGE4"	"GAGE4"	NA	NA	"analyte probe"
6	5	1	"GRWD1"	"GRWD1"	NA	NA	"analyte probe"
6	6	1	"LIP1"	"LIP1"	NA	NA	"analyte probe"
6	7	1	"p53"	"p53"	NA	NA	"analyte probe"
6	8	1	"NY-ESO-1 ORF2"	"NY-ESO-1 ORF2"	NA	NA	"analyte probe"
6	1	2	"SGY-1"	"SGY-1"	NA	NA	"analyte probe"
6	2	2	"SPANXB1"	"SPANXB1"	NA	NA	"analyte probe"
6	3	2	"SSX1"	"SSX1"	NA	NA	"analyte probe"
6	4	2	"MAPK1"	"MAPK1"	NA	NA	"analyte probe"
6	5	2	"SRC"	"SRC"	NA	NA	"analyte probe"
6	6	2	"CTNNB1"	"CTNNB1"	NA	NA	"analyte probe"
6	7	2	"P53 T18A"	"P53 T18A"	NA	NA	"analyte probe"
6	8	2	"Buffer"	"Buffer"	NA	NA	"analyte probe"
6	1	3	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
6	2	3	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
6	3	3	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
6	4	3	"GAGE4"	"GAGE4"	NA	NA	"analyte probe"
6	5	3	"GRWD1"	"GRWD1"	NA	NA	"analyte probe"
6	6	3	"LIP1"	"LIP1"	NA	NA	"analyte probe"
6	7	3	"p53"	"p53"	NA	NA	"analyte probe"
6	8	3	"NY-ESO-1 ORF2"	"NY-ESO-1 ORF2"	NA	NA	"analyte probe"
6	1	4	"SGY-1"	"SGY-1"	NA	NA	"analyte probe"
6	2	4	"SPANXB1"	"SPANXB1"	NA	NA	"analyte probe"
6	3	4	"SSX1"	"SSX1"	NA	NA	"analyte probe"
6	4	4	"MAPK1"	"MAPK1"	NA	NA	"analyte probe"
6	5	4	"SRC"	"SRC"	NA	NA	"analyte probe"
6	6	4	"CTNNB1"	"CTNNB1"	NA	NA	"analyte probe"
6	7	4	"P53 T18A"	"P53 T18A"	NA	NA	"analyte probe"
6	8	4	"Buffer"	"Buffer"	NA	NA	"analyte probe"
6	1	5	"Cy5 BSA 5ng/ul"	"Cy5 BSA 5ng/ul"	NA	NA	"control probe"
6	2	5	"Cy5 BSA 10ng/ul"	"Cy5 BSA 10ng/ul"	NA	NA	"control probe"
6	3	5	"Cy5 BSA 15ng/ul"	"Cy5 BSA 15ng/ul"	NA	NA	"control probe"
