"Annotation"	"Name"	"Grid"	"Row"	"Column"	"spot"	"Category"
"antigen 094"	"p53 K382R"	3	7	1	"antigen 094"	""
"antigen 102"	"XAGE1B"	3	8	1	"antigen 102"	""
"antigen 106"	"ITGB1"	3	8	2	"antigen 106"	""
"Cy5-biotin-BSA low 4th grid"	"Cy5 BSA 5ng/ul"	4	1	1	"Cy5-biotin-BSA low 4th grid"	"remove"
"Cy5-biotin-BSA med 4th grid"	"Cy5 BSA 10ng/ul"	4	1	2	"Cy5-biotin-BSA med 4th grid"	"remove"
"Cy5-biotin-BSA high 4th grid"	"Cy5 BSA 15ng/ul"	4	1	3	"Cy5-biotin-BSA high 4th grid"	"remove"
"antigen 004"	"BAGE5"	4	1	4	"antigen 004"	""
"antigen 008"	"COX6B2"	4	1	5	"antigen 008"	""
"antigen 012"	"CTAG2"	4	1	6	"antigen 012"	""
"antigen 029"	"MAGEA10"	4	1	7	"antigen 029"	""
"antigen 109"	"TKTL1 (isoform a)"	4	1	8	"antigen 109"	""
"antigen 033"	"MAGEA4v2"	4	2	1	"antigen 033"	""
"antigen 037"	"MAGEB1"	4	2	2	"antigen 037"	""
"antigen 041"	"MICA"	4	2	3	"antigen 041"	""
"antigen 061"	"SSX4"	4	2	4	"antigen 061"	""
"antigen 065"	"TPTE"	4	2	5	"antigen 065"	""
"antigen 069"	"XAGE-2"	4	2	6	"antigen 069"	""
"antigen 073"	"AKT1"	4	2	7	"antigen 073"	""
"Insect cell lysate"	"ICL"	4	2	8	"Insect cell lysate"	"remove"
"Det Ab +ve signal 4th grid"	"biotin-hIgG 10ng/ul"	4	6	7	"Det Ab +ve signal 4th grid"	"remove"
"antigen 093"	"p53 S46A"	4	7	1	"antigen 093"	""
"antigen 101"	"5T4/TPBG"	4	8	1	"antigen 101"	""
"antigen 105"	"ACVR2B"	4	8	2	"antigen 105"	""
"Cy5-biotin-BSA low 5th grid"	"Cy5 BSA 5ng/ul"	5	1	1	"Cy5-biotin-BSA low 5th grid"	"remove"
"Cy5-biotin-BSA med 5th grid"	"Cy5 BSA 10ng/ul"	5	1	2	"Cy5-biotin-BSA med 5th grid"	"remove"
"Cy5-biotin-BSA high 5th grid"	"Cy5 BSA 15ng/ul"	5	1	3	"Cy5-biotin-BSA high 5th grid"	"remove"
"antigen 020"	"GAGE5"	5	1	4	"antigen 020"	""
"antigen 024"	"HORMAD1"	5	1	5	"antigen 024"	""
"antigen 028"	"MAGEA1"	5	1	6	"antigen 028"	""
"antigen 048"	"PBK"	5	1	7	"antigen 048"	""
"BCCP-myc tag only"	"BCCP-myc"	5	1	8	"BCCP-myc tag only"	"remove"
"antigen 052"	"SILV"	5	2	1	"antigen 052"	""
"antigen 056"	"SPANXC"	5	2	2	"antigen 056"	""
"antigen 060"	"SSX2A"	5	2	3	"antigen 060"	""
"antigen 080"	"MAPK3"	5	2	4	"antigen 080"	""
"antigen 084"	"CALM1"	5	2	5	"antigen 084"	""
"antigen 088"	"p53 S6A"	5	2	6	"antigen 088"	""
"antigen 092"	"p53 Q136x"	5	2	7	"antigen 092"	""
"CT100 Control Buffer only 5th grid"	"Buffer"	5	2	8	"CT100 Control Buffer only 5th grid"	"remove"
"Det Ab +ve signal 5th grid"	"biotin-hIgG 10ng/ul"	5	6	7	"Det Ab +ve signal 5th grid"	"remove"
"antigen 100"	"EGFR"	5	7	1	"antigen 100"	""
"antigen 116"	"NANOG"	5	8	1	"antigen 116"	""
"antigen 120"	"GDF3"	5	8	2	"antigen 120"	""
"Cy5-biotin-BSA low 6th grid"	"Cy5 BSA 5ng/ul"	6	1	1	"Cy5-biotin-BSA low 6th grid"	"remove"
"Cy5-biotin-BSA med 6th grid"	"Cy5 BSA 10ng/ul"	6	1	2	"Cy5-biotin-BSA med 6th grid"	"remove"
"Cy5-biotin-BSA high 6th grid"	"Cy5 BSA 15ng/ul"	6	1	3	"Cy5-biotin-BSA high 6th grid"	"remove"
"antigen 019"	"GAGE4"	6	1	4	"antigen 019"	""
"antigen 023"	"GRWD1"	6	1	5	"antigen 023"	""
"antigen 027"	"LIP1"	6	1	6	"antigen 027"	""
"antigen 047"	"p53"	6	1	7	"antigen 047"	""
"antigen 123"	"NY-ESO-1 ORF2"	6	1	8	"antigen 123"	""
"antigen 051"	"SGY-1"	6	2	1	"antigen 051"	""
"antigen 055"	"SPANXB1"	6	2	2	"antigen 055"	""
"antigen 059"	"SSX1"	6	2	3	"antigen 059"	""
"antigen 079"	"MAPK1"	6	2	4	"antigen 079"	""
"antigen 083"	"SRC"	6	2	5	"antigen 083"	""
"antigen 087"	"CTNNB1"	6	2	6	"antigen 087"	""
"antigen 091"	"P53 T18A"	6	2	7	"antigen 091"	""
"CT100 Control Buffer only 6th grid"	"Buffer"	6	2	8	"CT100 Control Buffer only 6th grid"	"remove"
"Serum Ab +ve signal 6th grid"	"biotin-?hIgG"	6	6	7	"Serum Ab +ve signal 6th grid"	"remove"
"antigen 099"	"cytochrome P450 reductase"	6	7	1	"antigen 099"	""
"antigen 115"	"POU5F1/OCT3/OCT4A var. 1"	6	8	1	"antigen 115"	""
"antigen 119"	"DPPA3"	6	8	2	"antigen 119"	""
"Cy5-biotin-BSA low 7th grid"	"Cy5 BSA 5ng/ul"	7	1	1	"Cy5-biotin-BSA low 7th grid"	"remove"
"Cy5-biotin-BSA med 7th grid"	"Cy5 BSA 10ng/ul"	7	1	2	"Cy5-biotin-BSA med 7th grid"	"remove"
"Cy5-biotin-BSA high 7th grid"	"Cy5 BSA 15ng/ul"	7	1	3	"Cy5-biotin-BSA high 7th grid"	"remove"
"antigen 018"	"GAGE2A"	7	1	4	"antigen 018"	""
"antigen 022"	"GAGE7"	7	1	5	"antigen 022"	""
"antigen 026"	"LEMD1"	7	1	6	"antigen 026"	""
"antigen 046"	"OIP5"	7	1	7	"antigen 046"	""
"antigen 122"	"CAMEL"	7	1	8	"antigen 122"	""
"antigen 050"	"ROPN1"	7	2	1	"antigen 050"	""
"antigen 054"	"SPANXA1"	7	2	2	"antigen 054"	""
"antigen 058"	"SPO11"	7	2	3	"antigen 058"	""
"antigen 078"	"FGFR2"	7	2	4	"antigen 078"	""
"antigen 082"	"RAF"	7	2	5	"antigen 082"	""
"antigen 086"	"CREB1"	7	2	6	"antigen 086"	""
"antigen 090"	"p53 S15A"	7	2	7	"antigen 090"	""
"CT100 Control Buffer only 7th grid"	"Buffer"	7	2	8	"CT100 Control Buffer only 7th grid"	"remove"
"CT100 Control Buffer only"	"Buffer"	7	6	7	"CT100 Control Buffer only"	"remove"
"antigen 098"	"cytochrome P450 3A4"	7	7	1	"antigen 098"	""
"antigen 114"	"CEACAM 1 isoform 1"	7	8	1	"antigen 114"	""
"antigen 118"	"DPPA4"	7	8	2	"antigen 118"	""
"Cy5-biotin-BSA low 8th grid"	"Cy5 BSA 5ng/ul"	8	1	1	"Cy5-biotin-BSA low 8th grid"	"remove"
"Cy5-biotin-BSA med 8th grid"	"Cy5 BSA 10ng/ul"	8	1	2	"Cy5-biotin-BSA med 8th grid"	"remove"
"Cy5-biotin-BSA high 8th grid"	"Cy5 BSA 15ng/ul"	8	1	3	"Cy5-biotin-BSA high 8th grid"	"remove"
"antigen 017"	"GAGE1"	8	1	4	"antigen 017"	""
"antigen 021"	"GAGE6"	8	1	5	"antigen 021"	""
"antigen 025"	"LDHC"	8	1	6	"antigen 025"	""
"antigen 045"	"NY-ESO-1"	8	1	7	"antigen 045"	""
"antigen 121"	"CTAG2/LAGE-1b/LAGE-1L"	8	1	8	"antigen 121"	""
"antigen 049"	"RELT"	8	2	1	"antigen 049"	""
"antigen 053"	"SPAG9"	8	2	2	"antigen 053"	""
"antigen 057"	"SPANXD"	8	2	3	"antigen 057"	""
"antigen 077"	"FES"	8	2	4	"antigen 077"	""
"antigen 081"	"PRKCZ"	8	2	5	"antigen 081"	""
"antigen 085"	"CDC25A"	8	2	6	"antigen 085"	""
"antigen 089"	"p53 C141Y"	8	2	7	"antigen 089"	""
"CT100 Control Buffer only 8th grid"	"Buffer"	8	2	8	"CT100 Control Buffer only 8th grid"	"remove"
"antigen 016"	"FTHL17"	8	6	7	"antigen 016"	""
"antigen 097"	"p53 L344P"	8	7	1	"antigen 097"	""
"antigen 113"	"ROPN1A"	8	8	1	"antigen 113"	""
"antigen 117"	"BORIS B0"	8	8	2	"antigen 117"	""
